Name,Director,Actor1,Actor2,Release Year,IMDB Rating,Budget,Bclass,Revenue,Action,Adventure,Comedy,Crime,Drama,Fantasy,Horror,Romance,Thriller,Result,FR,FRR,Final
Gangaajal,245,53,303,2003,7.8,80000000,1,300000000,1,0,0,1,1,0,0,0,0,1,2,0,2
Chillar Party,246,23,456,2011,7.4,80000000,1,650000000,0,0,1,0,1,0,0,0,0,1,3,0,2
Vivah,272,141,356,2006,6.6,80000000,1,539000000,0,0,0,0,1,0,0,0,0,1,3,0,2
Kahaani,49,213,32,2012,8.1,80000000,1,1040000000,0,0,0,0,0,0,0,0,1,1,4,1,3
Dil Ka Rishta,80,166,290,2003,4.7,82500000,1,146020000,0,0,0,0,1,0,0,1,0,0,1,0,0
Yeh Raaste Hain Pyaar Ke,45,53,302,2001,4,85500000,1,132000000,1,0,0,0,1,0,0,1,0,0,1,0,0
Aankhen,294,101,112,2002,7.4,87900000,1,629500000,0,0,1,1,1,0,0,0,0,1,3,0,2
Honeymoon Travels Pvt. Ltd.,182,221,331,2007,6.1,90000000,1,165000000,0,0,1,0,1,0,0,1,0,0,1,0,0
Hate Story,8,105,84,2012,5.3,90000000,1,164300000,0,0,0,0,1,0,0,0,1,0,1,0,0
Blood Money,219,52,82,2012,5.1,90000000,1,116800000,1,0,0,0,1,0,0,0,1,0,1,0,0
Shaapit: The Cursed,83,215,278,2010,5.5,90000000,1,104300000,0,1,0,0,0,0,1,1,0,0,1,0,0
1920: Evil Returns,235,22,494,2012,4.8,90000000,1,280000000,0,0,0,0,1,0,1,1,0,0,2,0,0
Love Sonia,62,155,484,2018,7.4,90000000,1,220000000,0,0,0,0,1,0,0,0,0,1,1,0,2
Hunterrr,97,84,426,2015,7,90000000,1,136300000,0,0,1,0,0,0,0,1,0,1,1,0,2
City Lights,89,3,536,2014,7.3,90000000,1,90000000,0,0,0,0,1,0,0,0,1,1,1,0,2
Mujhse Fraaandship Karoge,145,103,268,2011,6.9,90000000,1,67200000,0,0,1,0,0,0,0,1,0,1,1,0,2
99,186,82,93,2009,7.3,90000000,1,1008157544,0,0,1,1,1,0,0,0,0,1,4,1,3
Lahore,28,100,432,2010,6.4,95000000,1,12100000,1,0,0,0,1,0,0,0,0,0,1,0,0
Life in a Metro,46,56,307,2007,7.4,95000000,1,244535000,0,0,1,0,1,0,0,1,0,1,1,0,2
Chalo Dilli,31,143,271,2011,6.8,95000000,1,145000000,0,0,1,0,1,0,0,0,0,1,1,0,2
Bewafaa,42,14,112,2005,4.3,100000000,1,200000000,0,0,0,0,1,0,0,1,0,0,1,0,0
Total Siyapaa,64,8,397,2014,5,100000000,1,131000000,0,0,1,0,1,0,0,1,0,0,1,0,0
Zid,8,77,361,2014,4.3,100000000,1,81500000,0,0,0,1,0,0,0,0,1,0,1,0,0
Saheb Biwi Aur Gangster 3,2,193,149,2018,4.3,100000000,1,66800000,1,0,0,1,1,0,0,0,0,0,1,0,0
Akaash Vani,342,0,81,2013,6.2,100000000,1,22400000,0,0,0,0,1,0,0,1,0,0,1,0,0
Naughty @ 40,176,111,437,2011,2.5,100000000,1,19400000,0,0,1,0,1,0,0,0,0,0,1,0,0
Zokkomon,16,197,161,2011,4,100000000,1,11300000,1,1,0,0,0,0,0,0,0,0,1,0,0
Jannat 2,297,28,227,2012,6.1,100000000,1,449600000,0,0,0,1,1,0,0,0,1,0,2,0,0
Ferrari Ki Sawaari,23,126,93,2012,6.4,100000000,1,440000000,0,0,1,0,1,0,0,0,0,0,2,0,0
Kaal,116,53,102,2005,4.6,100000000,1,331100000,0,1,0,0,0,0,1,0,0,0,2,0,0
Yaariyan,306,173,308,2014,2.7,100000000,1,695500000,0,0,0,0,1,0,0,1,0,0,3,0,0
Tere Naam,174,79,487,2003,7.1,100000000,1,245400000,1,0,0,0,1,0,0,1,0,1,1,0,2
Pyaar Ka Punchnama,342,0,521,2011,7.7,100000000,1,175000000,0,0,1,0,1,0,0,1,0,1,1,0,2
Peepli (Live),319,7,476,2010,7.4,100000000,1,468500000,0,0,1,0,1,0,0,0,0,1,2,0,2
Jolly LLB,190,211,356,2013,7.5,100000000,1,370000000,0,0,1,0,1,0,0,0,0,1,2,0,2
Jaane Tu... Ya Jaane Na,76,49,531,2008,7.5,100000000,1,532000000,0,0,1,0,1,0,0,1,0,1,3,0,2
Munna Bhai M.B.B.S.,22,193,211,2003,8.1,100000000,1,1039000000,0,0,1,0,1,0,0,0,0,1,4,1,3
Badla,49,101,514,2019,7.9,100000000,1,1384900000,0,0,0,1,1,0,0,0,0,1,5,1,3
Mere Dad Ki Maruti,169,103,312,2013,6.4,110000000,1,149400000,0,0,1,0,1,0,0,1,0,0,1,0,0
Mickey Virus,58,229,506,2013,6.1,110000000,1,106000000,0,0,1,0,0,0,0,0,1,0,1,0,0
Purani Jeans,151,107,117,2014,6.2,110000000,1,18600000,0,0,0,0,1,0,0,0,0,0,1,0,0
Salaam Namaste,336,121,176,2005,6.2,110000000,1,572000000,0,0,1,0,1,0,0,1,0,0,3,0,0
Apaharan,245,53,417,2005,7.4,110000000,1,221000000,1,0,0,1,1,0,0,0,0,1,1,0,2
Yeh Saali Zindagi,238,56,478,2011,7.5,110000000,1,148100000,0,0,0,1,1,0,0,0,1,1,1,0,2
3 Storeys,262,130,291,2018,7.1,110000000,1,31947500,0,0,0,0,1,0,0,0,0,1,1,0,2
Chalte Chalte,347,190,416,2003,6.6,110000000,1,432800000,0,0,0,0,1,0,0,1,0,1,2,0,2
Shaitan,322,183,526,2011,7.2,110000000,1,397600000,1,0,0,1,1,0,0,0,0,1,2,0,2
